restart,step,smiles,pIC50,QED,SA,MW,LogP,LogP_Penalty,Reward
65,2,O=C([O-])Nc1ccc(N2CCN(C(=O)Cc3ccccc3)CC2)cc1,7.624100000000004,0.9125577540115644,2.116560851561257,338.38700000000006,1.333099999999999,0.0,8.868722791849661
92,4,COCc1ccc(C(=O)N2CCN(C(=O)c3ccccc3)CC2)cc1,7.56830000000001,0.8602466628117768,1.6831262361766406,338.40700000000004,2.4312000000000005,0.0,8.830110707788233
83,3,CN(C(=O)NCC1CCN(C2CCCCC2)CC1)c1ccccc1,7.576800000000012,0.9097906940599233,2.1791114853087006,329.48799999999994,3.877100000000002,0.0,8.813784198499103
84,3,COCc1ccc(C(=O)N2CCN(c3ccccc3)CC2)cc1,7.553800000000012,0.8703710270441913,1.6438015410564972,310.39700000000005,2.7954000000000008,0.0,8.806330878532746
57,8,CC(C)(C)c1ccc(CCCC2CCN(CC(N)=O)CC2)cc1,7.575000000000006,0.8728037983204814,2.036060205666141,316.48900000000003,3.504100000000001,0.0,8.80533349105581
83,87,NC(=O)Cc1ccc(-c2ccc(-c3ccc(CC(N)=O)cc3)cc2)cc1,7.5922000000000045,0.7198180512365173,1.6156016992376117,344.414,3.076200000000001,0.0,8.790548855694503
41,2,COc1ccc(CC2CCN(C(=O)c3c(NC(C)=O)sc4c3CCC4)CC2)cc1,7.617300000000008,0.7966027597978272,2.257344624950326,412.5550000000003,4.298700000000004,0.0,8.789866917403888
84,2,COCc1ccc(C(=O)N2CCN(c3ccccn3)CC2)cc1,7.548300000000011,0.8681648101470093,1.812635754604143,311.38500000000005,2.1904000000000003,0.0,8.78638480843557
83,11,NC(=O)Cc1csc(CCc2ccc(CC3CCCCC3)cc2)n1,7.596200000000006,0.8240962002712514,2.2242459908032064,342.5080000000001,4.0789000000000035,0.0,8.785823501055312
23,2,COc1ccc(CN(C)C(=O)c2cc3c([nH]c2=O)CCCC3=O)cc1,7.549200000000009,0.9250191385618103,2.271442664748072,340.3790000000002,2.1747000000000005,0.0,8.784565302806106
