经理姓名,公司,排名,股票代码,股票名称,总占比(%),出现次数,覆盖基金数,报告期
张坤,易方达基金,1,00883,中国海洋石油,29.3,4,4,2026-06-30
张坤,易方达基金,2,00700,腾讯控股,28.78,4,4,2026-06-30
张坤,易方达基金,3,600519,贵州茅台,24.36,3,3,2026-06-30
张坤,易方达基金,4,09988,阿里巴巴-W,21.54,4,4,2026-06-30
张坤,易方达基金,5,000568,泸州老窖,19.76,3,3,2026-06-30
张坤,易方达基金,6,600809,山西汾酒,18.85,3,3,2026-06-30
张坤,易方达基金,7,09987,百胜中国,18.02,3,3,2026-06-30
张坤,易方达基金,8,000858,五粮液,17.97,3,3,2026-06-30
张坤,易方达基金,9,01179,华住集团-S,16.65,2,2,2026-06-30
张坤,易方达基金,10,005930,三星电子,9.5,1,1,2026-06-30
张坤,易方达基金,11,000660,SK海力士,9.32,1,1,2026-06-30
张坤,易方达基金,12,KLAC,科磊,8.56,1,1,2026-06-30
张坤,易方达基金,13,600036,招商银行,7.15,1,1,2026-06-30
张坤,易方达基金,14,ASML,阿斯麦,6.77,1,1,2026-06-30
张坤,易方达基金,15,TSM,台积电,6.14,1,1,2026-06-30
张坤,易方达基金,16,00857,中国石油股份,3.94,1,1,2026-06-30
张坤,易方达基金,17,2330,台积电,3.93,1,1,2026-06-30
张坤,易方达基金,18,002027,分众传媒,2.5,1,1,2026-06-30
张坤,易方达基金,19,00981,中芯国际,2.34,1,1,2026-06-30
张坤,易方达基金,20,002384,东山精密,2.34,1,1,2026-06-30
